TAZID,ALLEMP_Max,ALLEMP_Min,AVGINCOME_Max,AVGINCOME_Min,Enrol_Elem_Max,Enrol_Elem_Min,Enrol_High_Max,Enrol_High_Min,Enrol_Midl_Max,Enrol_Midl_Min,FM_AGRI_Max,FM_AGRI_Min,FM_CONS_Max,FM_CONS_Min,FM_MING_Max,FM_MING_Min,FOOD_Max,FOOD_Min,GVED_Max,GVED_Min,HBJ_Max,HBJ_Min,HHPOP_Max,HHPOP_Min,HHSIZE_Max,HHSIZE_Min,HLTH_Max,HLTH_Min,INDEMP_Max,INDEMP_Min,MANU_Max,MANU_Min,OFFI_Max,OFFI_Min,OTHEMP_Max,OTHEMP_Min,OTHR_Max,OTHR_Min,RETEMP_Max,RETEMP_Min,RETL_Max,RETL_Min,TOTEMP_Max,TOTEMP_Min,TOTEMP_Range,TOTHH_Max,TOTHH_Min,TOTHH_Range,WSLE_Max,WSLE_Min,CO_TAZID,CO_FIPS,CO_NAME
2027,4428.758314,1167.445659,70283,70283,0,0,0,0,0,0,27.16875,25.12484395,161.5869962,119.3211218,0,0,659,117,58,21,9.002567986,1.999692854,311.0624088,111.7811479,2.528962673,3.287680821,917,67,472,103,11,4,464,20,2466,622,1027,514,1293,296,634,179,4231,1021,3210,123,34,89,461,99,351122,35,SALT LAKE
1605,4781.101905,1422.90816,54653,54653,0,0,0,0,0,0,0,0,249.081867,132.8960447,0,0,141,84,86,62,83.02003819,46.01211536,2708.800636,1517.273278,2.357528839,2.374449574,1287,334,5,0,2,0,175,62,2095,745,547,287,2349,499,2208,415,4449,1244,3205,1149,639,510,3,0,350700,35,SALT LAKE
703,7122.674069,3812.238773,42449,42449,0,0,0,0,0,0,0,0,423.6834635,309.2221177,0,0,515,59,222,85,78.9906053,70.01665477,4340.469242,3818.992787,2.344932059,2.308943644,3468,2347,15,0,9,0,143,53,4943,3036,1110,551,1662,397,1147,338,6620,3433,3187,1851,1654,197,6,0,110122,11,DAVIS
794,4172.653578,807.0818596,80062,80062,0,0,0,0,0,0,53.1176906,51.03769401,253.5332705,74.04464126,0,0,1413,204,406,144,11.00261718,3.999524319,651.3448497,218.6973666,2.584701785,2.634908032,725,60,257,62,32,16,177,10,1650,348,342,134,1948,268,535,64,3855,678,3177,252,83,169,225,46,110213,11,DAVIS
1783,4889.291853,1671.863182,76192,76192,0,0,0,0,0,0,37.23125,36.17977528,178.2267024,127.8495061,17.83390087,17.83390087,63,1,234,95,0,0,0,0,0,0,82,1,443,102,199,3,1224,215,3597,1379,2057,1068,616,9,553,8,4656,1490,3166,0,0,0,244,99,350878,35,SALT LAKE
1074,4223.709487,899.7938152,42543,42543,0,0,0,0,0,0,0,0,217.7023536,65.79596526,0,0,1693,374,1,0,25.00713329,13.99784998,758.965289,411.6241316,2.23225085,2.110892982,361,10,2,0,1,0,1827,399,2284,446,95,37,1695,374,2,0,3981,820,3161,340,195,145,1,0,350169,35,SALT LAKE
1065,4219.204576,967.6420382,42543,42543,0,0,0,0,0,0,0,0,230.2094906,94.63808754,0,0,91,5,8,4,27.99508578,15.00395066,839.8072475,473.0100221,2.210019072,2.23117935,26,2,97,30,51,25,2031,262,3737,822,1672,554,127,6,36,1,3961,858,3103,380,212,168,46,5,350160,35,SALT LAKE
585,3388.480019,123.7687768,93635,93635,0,0,0,0,0,0,8.017764619,4.988946205,220.4534512,68.77316866,0,0,526,5,180,4,37.00880324,28.00666191,2347.613009,1823.982418,2.698405758,2.776228947,738,5,27,0,5,0,436,1,2184,10,830,0,912,12,386,7,3123,22,3101,870,657,213,22,0,110004,11,DAVIS
2009,9599.746265,6519.834368,111741,111741,0,0,0,0,0,0,6.0375,5.024968789,452.716663,438.8222975,0,0,89,6,167,115,44.99210215,41.98710187,1436.57583,1247.723176,2.313326618,2.177527358,1925,1187,441,374,9,5,1550,696,7161,4496,3519,2498,1494,1164,1405,1158,9096,6034,3062,621,573,48,432,369,351104,35,SALT LAKE
619,3435.157083,264.9348537,96912,96912,0,0,0,0,0,0,10.04451039,5.973529412,174.102104,87.95561407,0,0,402,21,210,6,44.01046871,24.00571021,2553.450615,1459.400374,2.464720671,2.624820817,1118,5,27,4,14,0,384,30,2038,82,326,41,1142,61,740,40,3207,147,3060,1036,556,480,13,4,110038,11,DAVIS
